Date,Open,High,Low,Close,Adj Close,Volume,,Predicted Direction,Value,,Buy and Hold,ML,,
6/10/2021,330.790009,333.940002,328.549988,332.459991,332.459991,13240200,,1,331.26001,,97.32599884,97.618171,,
6/11/2021,332.579987,332.829987,328.929993,331.26001,331.26001,13587900,,0,331.26001,,,,,
6/14/2021,331.899994,336.820007,329.809998,336.769989,336.769989,12250800,,1,331.240021,,,,,
6/15/2021,336.98999,339.920013,335.029999,336.75,336.75,15795200,,0,331.240021,,,,,
6/16/2021,336.700012,337.549988,328.720001,331.079987,331.079987,17232200,,0,331.240021,,,,,
6/17/2021,330.48999,337.980011,330.149994,336.51001,336.51001,17794100,,0,331.240021,,,,,
6/18/2021,334.529999,336.149994,329,329.660004,329.660004,23039500,,0,331.240021,,,,,
6/21/2021,331.089996,332.920013,327.649994,332.290009,332.290009,11337500,,1,337.980011,,,,,
6/22/2021,332.690002,339.920013,332.600006,339.029999,339.029999,15345300,,1,339.540008,,,,,
6/23/2021,339.350006,343.420013,338.200012,340.589996,340.589996,14817800,,1,342.130005,,,,,
6/24/2021,341.850006,344.899994,341.790009,343.179993,343.179993,12329100,,0,342.130005,,,,,
6/25/2021,342.589996,344.119995,339.679993,341.369995,341.369995,14594400,,0,342.130005,,,,,
6/28/2021,342.459991,358.140015,341.769989,355.640015,355.640015,29156100,,1,338.380005,,,,,
6/29/2021,356.269989,356.73999,349.049988,351.890015,351.890015,21417300,,0,338.380005,,,,,
6/30/2021,352.170013,352.920013,347.170013,347.709991,347.709991,15107500,,0,338.380005,,,,,
7/1/2021,346.820007,354.670013,346.5,354.390015,354.390015,17137000,,1,338.690002,,,,,
7/2/2021,355.100006,356.440002,352.619995,354.700012,354.700012,11521300,,1,336.769989,,,,,
7/6/2021,356.5,358.790009,349.179993,352.779999,352.779999,13488500,,1,334.47998,,,,,
7/7/2021,355.26001,356.48999,350,350.48999,350.48999,14218900,,0,334.47998,,,,,
7/8/2021,345.730011,348.329987,342.559998,345.649994,345.649994,14406500,,0,334.47998,,,,,
7/9/2021,345.320007,350.709991,345.269989,350.420013,350.420013,13018700,,1,337.219971,,,,,
7/12/2021,351.230011,354.190002,349.640015,353.160004,353.160004,10018600,,1,336.149963,,,,,
